2097152;0.0427635;0.547972;3.19459
4194304;0.0900512;0.53779;3.04786
6291456;0.143399;0.512027;2.87527
8388608;0.19126;0.514587;2.87723
10485760;0.246206;0.501267;2.79634
12582912;0.302599;0.490452;2.73077
14680064;0.380401;0.455851;2.53526
16777216;0.459187;0.432071;2.4003
18874368;0.547203;0.408252;2.2664
20971520;0.65586;0.378727;2.10122
23068672;0.766933;0.356469;1.97662
25165824;0.880408;0.338914;1.87858
27262976;0.990319;0.32654;1.80937
29360128;1.10249;0.315987;1.75032
31457280;1.21343;0.307698;1.70398
33554432;1.3372;0.29791;1.6495
35651584;1.49211;0.283732;1.57518
37748736;1.61576;0.277488;1.54011
39845888;1.71706;0.275675;1.52966
41943040;1.82377;0.273251;1.51581
44040192;1.93638;0.270268;1.49893
46137344;2.05682;0.266595;1.47828
48234496;2.16585;0.264715;1.46749
50331648;2.28416;0.261947;1.45189
52428800;2.39183;0.260606;1.44417
54525952;2.50957;0.258339;1.43139
56623104;2.61484;0.257497;1.42655
58720256;2.72871;0.255913;1.41754
60817408;2.83919;0.254758;1.4111
62914560;2.95629;0.253121;1.40175
65011712;3.06483;0.252313;1.3972
67108864;3.20669;0.248946;1.37804
69206016;3.33548;0.246827;1.36847
71303168;3.45921;0.245225;1.35944
73400320;3.55035;0.24597;1.36344
75497472;3.65952;0.245462;1.36046
77594624;3.76419;0.245277;1.3593
79691776;3.88227;0.244255;1.35347
81788928;3.98639;0.244146;1.35273
83886080;4.09777;0.24361;1.34959
85983232;4.20832;0.24315;1.34698
88080384;4.32674;0.242272;1.34195
90177536;4.43005;0.242264;1.3418
92274688;4.54965;0.24139;1.33693
94371840;4.65569;0.24126;1.33602
96468992;4.7726;0.240587;1.33217
98566144;4.87913;0.240458;1.33134
100663296;5.0337;0.238039;1.31777
102760448;5.16003;0.237056;1.3139
104857600;5.28258;0.236288;1.30936
106954752;5.37986;0.236662;1.31132
109051904;5.4869;0.2366;1.31085
111149056;5.59035;0.236693;1.31129
113246208;5.71073;0.236081;1.30779
115343360;5.81076;0.236318;1.30901
117440512;5.9313;0.23573;1.30565
119537664;6.03455;0.235838;1.30617
121634816;6.15493;0.235287;1.30303
123731968;6.25646;0.235464;1.30395
125829120;6.37843;0.23488;1.30064
127926272;6.47992;0.235059;1.30155
130023424;6.60052;0.234551;1.29869
132120576;6.70254;0.23471;1.29953
134217728;6.90325;0.231506;1.28134
