2097152;0.176555;0.132725;0.951059;0.823034
4194304;0.356324;0.135912;0.950921;0.828467
6291456;0.53556;0.137098;0.951478;0.810945
8388608;0.719194;0.136847;0.951735;0.781136
10485760;0.911311;0.135426;0.9519;0.760975
12582912;1.09423;0.13563;0.952039;0.744565
14680064;1.25821;0.137819;0.952143;0.731583
16777216;1.42951;0.13879;0.952207;0.729092
18874368;1.60964;0.138787;0.95225;0.729765
20971520;1.78804;0.138919;0.952286;0.73004
23068672;1.96443;0.139169;0.952313;0.730173
25165824;2.14069;0.139386;0.952334;0.729973
27262976;2.32013;0.139379;0.952354;0.730468
29360128;2.50785;0.138913;0.952364;0.730647
31457280;2.67895;0.139372;0.952372;0.730727
33554432;2.86096;0.139242;0.952189;0.730978
35651584;3.16619;0.133713;0.940666;0.736032
37748736;3.35817;0.133512;0.94354;0.723104
39845888;3.57333;0.132468;0.945444;0.70677
41943040;3.76615;0.132323;0.947953;0.687543
44040192;3.94558;0.13264;0.948991;0.686425
46137344;4.09764;0.133818;0.949204;0.686852
48234496;4.29721;0.13342;0.95;0.688539
50331648;4.48871;0.133296;0.949346;0.689326
52428800;4.69049;0.132891;0.949459;0.693769
54525952;4.83241;0.134161;0.949861;0.692787
56623104;5.14766;0.1308;0.950096;0.697927
58720256;5.24605;0.133112;0.950711;0.693586
60817408;5.62;0.128702;0.950775;0.701097
62914560;5.56897;0.13437;0.950965;0.69418
65011712;6.23668;0.123992;0.951064;0.705037
67108864;5.99655;0.133125;0.950556;0.693402
69206016;6.96578;0.11819;0.940483;0.720653
71303168;6.43269;0.131871;0.943465;0.706839
73400320;6.94616;0.125721;0.945245;0.707507
75497472;6.75123;0.133053;0.947891;0.693203
77594624;7.13389;0.12942;0.948868;0.696837
79691776;7.09332;0.133684;0.949115;0.693886
81788928;7.37462;0.131974;0.949979;0.695705
83886080;7.51724;0.132795;0.9491;0.694095
85983232;7.71165;0.132689;0.949221;0.698731
88080384;7.79654;0.13445;0.9497;0.697224
90177536;8.04734;0.133366;0.949913;0.699144
92274688;8.16212;0.134553;0.950562;0.698282
94371840;8.4122;0.133524;0.950688;0.69965
96468992;8.50475;0.13501;0.950856;0.697203
98566144;8.98559;0.130567;0.950933;0.701733
100663296;9.00419;0.133074;0.950629;0.696036
102760448;9.57711;0.127723;0.940506;0.716388
104857600;9.4305;0.132359;0.943297;0.70889
106954752;9.66013;0.1318;0.945179;0.705251
109051904;9.78306;0.132699;0.947815;0.698253
111149056;9.93848;0.133139;0.948969;0.697238
113246208;10.1377;0.132987;0.949097;0.69755
115343360;10.3262;0.132981;0.950002;0.697685
117440512;10.6801;0.130915;0.949059;0.697603
119537664;10.6825;0.133225;0.949179;0.700032
121634816;11.0229;0.131378;0.949483;0.701828
123731968;10.9777;0.134196;0.949867;0.699461
125829120;11.1346;0.13455;0.950468;0.699415
127926272;12.5116;0.12174;0.9399;0.720329
130023424;12.0162;0.128839;0.950755;0.704295
132120576;19.1677;0.0820729;0.895412;0.811345
134217728;12.0938;0.132146;0.950401;0.697218
